region_name,country,income,agency,channel,dac_category,fiscal_year,amt
East Asia and Oceania,China (P.R.C.),UMIC,TDA,Enterprises,Other,2001,391948.0
East Asia and Oceania,Indonesia,LMIC,USAID,Government,Health and Population,2007,1563.0
East Asia and Oceania,Indonesia,LMIC,USAID,Government,Other,1957,5026948.0
East Asia and Oceania,Philippines,LMIC,USAID,Government,Economic Growth,2013,97495.0
East Asia and Oceania,China (P.R.C.),UMIC,TDA,Enterprises,Infrastructure,2005,4387.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Government,Administrative Costs,2014,647589.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Governance,2001,423414.0
East Asia and Oceania,Indonesia,LMIC,PC,Government,Education,2018,973613.0
East Asia and Oceania,Timor-Leste,LMIC,USAID,Enterprises,Administrative Costs,2012,727.0
East Asia and Oceania,Cambodia,LMIC,USAID,Enterprises,Governance,2016,96816.0
East Asia and Oceania,Timor-Leste,LMIC,USAID,Church and Faith Based,Governance,2003,151836.0
East Asia and Oceania,China (P.R.C.),UMIC,USAID,Enterprises,Governance,2015,127673.0
East Asia and Oceania,Indonesia,LMIC,HHS,NGO,Health and Population,2017,307270.0
East Asia and Oceania,China (P.R.C.),UMIC,TDA,Enterprises,Infrastructure,2012,809427.0
East Asia and Oceania,Timor-Leste,LMIC,USAID,Government,Administrative Costs,2018,2247.0
East Asia and Oceania,Marshall Islands,UMIC,DOI,Government,Education,2004,12829497.0
East Asia and Oceania,Indonesia,LMIC,USAID,NGO,Education,2017,1993947.0
East Asia and Oceania,Thailand,UMIC,STATE,NGO,Governance,2019,36000.0
East Asia and Oceania,Cambodia,LMIC,USAID,NGO,Governance,2021,2081560.0
East Asia and Oceania,Indonesia,LMIC,USAID,Multilateral,Humanitarian,2002,103912.0
East Asia and Oceania,Indonesia,LMIC,PC,Government,Education,2011,585674.0
East Asia and Oceania,Cambodia,LMIC,STATE,NGO,Governance,1996,360638.0
East Asia and Oceania,China (P.R. Hong Kong),HIC,STATE,NGO,Governance,2013,165676.0
East Asia and Oceania,Cambodia,LMIC,STATE,Government,Other,2004,46404.0
East Asia and Oceania,Malaysia,UMIC,USAID,Government,Administrative Costs,2021,131666.0
East Asia and Oceania,Philippines,LMIC,USAID,Universities and Research Institutes,Economic Growth,2008,97517.0
East Asia and Oceania,Vietnam,LMIC,DOD,Government,Health and Population,2018,2784099.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Governance,2018,19925.0
East Asia and Oceania,Indonesia,LMIC,USAID,Government,Administrative Costs,2014,24192.0
East Asia and Oceania,Mongolia,LMIC,USAID,Enterprises,Administrative Costs,2011,42450.0
East Asia and Oceania,Indonesia,LMIC,USAID,Government,Governance,2009,1325.0
East Asia and Oceania,Cambodia,LMIC,USAID,Enterprises,Health and Population,2016,521981.0
East Asia and Oceania,Micronesia (Federated States),LMIC,USAID,Multilateral,Other,2013,176952.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Health and Population,2010,13418.0
East Asia and Oceania,Marshall Islands,UMIC,DOI,Government,Health and Population,2018,228855.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Other,2017,4377802.0
East Asia and Oceania,Cambodia,LMIC,USAID,Enterprises,Health and Population,2015,10044.0
East Asia and Oceania,Philippines,LMIC,TDA,Enterprises,Other,2001,1409.0
East Asia and Oceania,Thailand,UMIC,DOD,Government,Governance,2019,4326.0
East Asia and Oceania,Philippines,LMIC,STATE,NGO,Governance,2013,55214.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Other,2004,52683.0
East Asia and Oceania,Indonesia,LMIC,STATE,Government,Governance,2019,74637.0
East Asia and Oceania,Timor-Leste,LMIC,USAID,Enterprises,Economic Growth,2009,17413.0
East Asia and Oceania,Vietnam,LMIC,USAID,NGO,Governance,2007,13102.0
East Asia and Oceania,Indonesia,LMIC,USAID,Universities and Research Institutes,Education,2013,312947.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,NGO,Humanitarian,2009,825178.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,NGO,Health and Population,2013,8044.0
East Asia and Oceania,Thailand,UMIC,USAID,Enterprises,Health and Population,2012,16869.0
East Asia and Oceania,Korea Republic,HIC,DOE,Government,Economic Growth,2019,167919.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Governance,2001,30517.0
East Asia and Oceania,Philippines,LMIC,MCC,Government,Other,2016,129889.0
East Asia and Oceania,Vietnam,LMIC,USAID,Enterprises,Administrative Costs,2019,4700.0
East Asia and Oceania,Cambodia,LMIC,USAID,Enterprises,Other,2005,105267.0
East Asia and Oceania,Mongolia,LMIC,USAID,NGO,Governance,2011,343071.0
East Asia and Oceania,Vietnam,LMIC,AGR,Universities and Research Institutes,Agriculture,2010,134132.0
East Asia and Oceania,Cambodia,LMIC,USAID,Enterprises,Administrative Costs,2019,29034.0
East Asia and Oceania,Indonesia,LMIC,USAID,Multilateral,Governance,2005,129026.0
East Asia and Oceania,Timor-Leste,LMIC,USAID,Government,Health and Population,2010,8189.0
East Asia and Oceania,Cambodia,LMIC,USAID,NGO,Health and Population,2019,158400.0
East Asia and Oceania,Thailand,UMIC,STATE,Universities and Research Institutes,Other,2008,27426.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Health and Population,2001,5689088.0
East Asia and Oceania,Vietnam,LMIC,USAID,Enterprises,Administrative Costs,2014,30717.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Other,2017,83451.0
East Asia and Oceania,Philippines,LMIC,STATE,NGO,Governance,2007,172098.0
East Asia and Oceania,Vietnam,LMIC,STATE,Enterprises,Governance,2010,34530.0
East Asia and Oceania,China (P.R.C.),UMIC,DOE,Government,Infrastructure,2014,260023.0
East Asia and Oceania,Vietnam,LMIC,USAID,Enterprises,Administrative Costs,2017,2625.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Humanitarian,2014,29163.0
East Asia and Oceania,China (P.R.C.),UMIC,STATE,NGO,Governance,2018,326207.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Other,2010,16553.0
East Asia and Oceania,Indonesia,LMIC,USAID,Government,Health and Population,2019,8185.0
East Asia and Oceania,Papua New Guinea,LMIC,USAID,Enterprises,Administrative Costs,2020,147096.0
East Asia and Oceania,Thailand,UMIC,STATE,NGO,Humanitarian,2005,1224983.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Enterprises,Health and Population,2009,15921.0
East Asia and Oceania,"Korea, Democratic Republic",LIC,AGR,Government,Humanitarian,2002,438307.0
East Asia and Oceania,Timor-Leste,LMIC,USAID,Government,Administrative Costs,2009,23209.0
East Asia and Oceania,Philippines,LMIC,USAID,Government,Administrative Costs,2013,8186.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Health and Population,2012,56230.0
East Asia and Oceania,Mongolia,LMIC,USAID,Multilateral,Governance,2003,487417.0
East Asia and Oceania,Thailand,UMIC,DOD,Government,Governance,2019,7794.0
East Asia and Oceania,Timor-Leste,LMIC,USAID,Enterprises,Administrative Costs,2008,29910.0
East Asia and Oceania,Vietnam,LMIC,USAID,Government,Health and Population,2016,74430.0
East Asia and Oceania,Timor-Leste,LMIC,USAID,Enterprises,Economic Growth,2008,27844.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Health and Population,2009,1007896.0
East Asia and Oceania,Vietnam,LMIC,USAID,NGO,Governance,2015,688684.0
East Asia and Oceania,Cambodia,LMIC,USAID,Enterprises,Health and Population,2018,152910.0
East Asia and Oceania,Laos,LMIC,AGR,Government,Agriculture,2010,20116.0
East Asia and Oceania,Thailand,UMIC,DOI,Government,Other,2002,66298.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Infrastructure,2009,20000246.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Administrative Costs,2016,85211.0
East Asia and Oceania,Timor-Leste,LMIC,USAID,Multilateral,Humanitarian,2008,2623.0
East Asia and Oceania,Indonesia,LMIC,DOI,NGO,Other,2016,71002.0
East Asia and Oceania,Vietnam,LMIC,USAID,Enterprises,Governance,2008,11835.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,NGO,Governance,2018,6868195.0
East Asia and Oceania,China (P.R.C.),UMIC,DOI,Government,Other,2002,46415.0
East Asia and Oceania,Mongolia,LMIC,USAID,Enterprises,Administrative Costs,2006,41702.0
East Asia and Oceania,Timor-Leste,LMIC,USAID,Enterprises,Other,2008,1789.0
East Asia and Oceania,Laos,LMIC,DOI,NGO,Other,2009,58045.0
East Asia and Oceania,Philippines,LMIC,USAID,Government,Health and Population,2021,46898.0
East Asia and Oceania,Timor-Leste,LMIC,USAID,Enterprises,Administrative Costs,2020,2818.0
East Asia and Oceania,Indonesia,LMIC,USAID,Universities and Research Institutes,Governance,2006,3124345.0
East Asia and Oceania,Timor-Leste,LMIC,PC,Government,Governance,2016,20416.0
East Asia and Oceania,Japan,HIC,DOD,Government,Governance,2020,7238.0
East Asia and Oceania,Cambodia,LMIC,USAID,Enterprises,Health and Population,2006,9055.0
East Asia and Oceania,Malaysia,UMIC,DOD,Government,Humanitarian,2014,5065.0
East Asia and Oceania,Vietnam,LMIC,USAID,Multilateral,Governance,2013,191041.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Health and Population,2009,1117.0
East Asia and Oceania,Thailand,UMIC,DOI,NGO,Other,2014,64977.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Health and Population,2005,174848.0
East Asia and Oceania,Cambodia,LMIC,USAID,NGO,Agriculture,2004,1578269.0
East Asia and Oceania,"Korea, Democratic Republic",LIC,STATE,NGO,Governance,2004,219389.0
East Asia and Oceania,Marshall Islands,UMIC,USAID,Enterprises,Humanitarian,2015,2656.0
East Asia and Oceania,China (P.R.C.),UMIC,TDA,Enterprises,Infrastructure,2019,115421.0
East Asia and Oceania,Thailand,UMIC,HHS,Government,Health and Population,2018,100878.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Health and Population,2009,31985.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Governance,2008,8466398.0
East Asia and Oceania,China (P.R.C.),UMIC,STATE,Enterprises,Other,2010,267010.0
East Asia and Oceania,Indonesia,LMIC,USAID,Public and Private Partnerships,Governance,2005,645135.0
East Asia and Oceania,Indonesia,LMIC,USAID,Government,Administrative Costs,2021,1852.0
East Asia and Oceania,Cambodia,LMIC,DOD,Government,Governance,2019,10551.0
East Asia and Oceania,Mongolia,LMIC,USAID,Enterprises,Governance,2006,2799.0
East Asia and Oceania,Cambodia,LMIC,USAID,Multilateral,Humanitarian,2013,202686.0
East Asia and Oceania,China (P.R.C.),UMIC,STATE,Government,Other,2017,521566.0
East Asia and Oceania,Vietnam,LMIC,FTC,Government,Economic Growth,2018,4154.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Administrative Costs,2020,35483.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Enterprises,Administrative Costs,2019,10229.0
East Asia and Oceania,Marshall Islands,UMIC,USAID,Government,Administrative Costs,2016,17960.0
East Asia and Oceania,China (P.R.C.),UMIC,STATE,NGO,Governance,2008,105511.0
East Asia and Oceania,China (P.R.C.),UMIC,DOI,NGO,Other,2015,36865.0
East Asia and Oceania,Cambodia,LMIC,USAID,Enterprises,Health and Population,2010,383830.0
East Asia and Oceania,Korea Republic,HIC,DOE,Government,Governance,2013,182339.0
East Asia and Oceania,Cambodia,LMIC,DOI,NGO,Other,2017,77853.0
East Asia and Oceania,Indonesia,LMIC,USAID,NGO,Education,2013,364407.0
East Asia and Oceania,Indonesia,LMIC,AGR,Enterprises,Commodity Assistance,2020,7100776.0
East Asia and Oceania,Philippines,LMIC,USAID,Universities and Research Institutes,Health and Population,2019,220268.0
East Asia and Oceania,Philippines,LMIC,USAID,NGO,Health and Population,2018,122327.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Other,2010,2494.0
East Asia and Oceania,Philippines,LMIC,STATE,Universities and Research Institutes,Governance,2011,64411.0
East Asia and Oceania,Mongolia,LMIC,AGR,Government,Agriculture,2017,31294.0
East Asia and Oceania,Fiji,UMIC,PC,Government,Other,2010,106171.0
East Asia and Oceania,Burma (Myanmar),LMIC,STATE,NGO,Governance,2018,30582.0
East Asia and Oceania,Mongolia,LMIC,USAID,Government,Administrative Costs,2009,305180.0
East Asia and Oceania,Philippines,LMIC,DOD,Government,Governance,2019,66241.0
East Asia and Oceania,Micronesia (Federated States),LMIC,USAID,Government,Administrative Costs,2012,8247.0
East Asia and Oceania,Mongolia,LMIC,MCC,Government,Administrative Costs,2009,5894.0
East Asia and Oceania,Thailand,UMIC,USAID,Enterprises,Other,2003,122535.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Health and Population,2015,2074.0
East Asia and Oceania,Vietnam,LMIC,DOI,NGO,Other,2012,22312.0
East Asia and Oceania,Micronesia (Federated States),LMIC,DOI,Government,Other,2015,39200.0
East Asia and Oceania,Thailand,UMIC,STATE,Government,Administrative Costs,2017,46941.0
East Asia and Oceania,Philippines,LMIC,USAID,Government,Economic Growth,2003,299483.0
East Asia and Oceania,Cambodia,LMIC,USAID,Enterprises,Administrative Costs,2008,10255.0
East Asia and Oceania,"Korea, Democratic Republic",LIC,USAID,Enterprises,Administrative Costs,2008,15912444.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Administrative Costs,2020,597897.0
East Asia and Oceania,Indonesia,LMIC,USAID,Government,Administrative Costs,2003,2412128.0
East Asia and Oceania,Mongolia,LMIC,TREAS,Government,Economic Growth,2013,732348.0
East Asia and Oceania,Micronesia (Federated States),LMIC,DOI,Government,Other,2020,205935.0
East Asia and Oceania,Philippines,LMIC,TREAS,Government,Governance,2015,24563.0
East Asia and Oceania,Indonesia,LMIC,USAID,Government,Other,2009,3763.0
East Asia and Oceania,Timor-Leste,LMIC,USAID,Enterprises,Agriculture,2013,120183.0
East Asia and Oceania,Philippines,LMIC,STATE,NGO,Governance,2012,58718.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Government,Administrative Costs,2018,587340.0
East Asia and Oceania,Mongolia,LMIC,USAID,Government,Governance,2003,88364.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Other,2010,208164.0
East Asia and Oceania,Philippines,LMIC,USAID,NGO,Health and Population,2017,188610.0
East Asia and Oceania,Philippines,LMIC,DOD,Government,Other,1949,506584299.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Governance,2009,7287.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Humanitarian,2019,27480.0
East Asia and Oceania,Philippines,LMIC,USAID,NGO,Governance,2018,70863.0
East Asia and Oceania,Thailand,UMIC,STATE,Government,Governance,2014,17552.0
East Asia and Oceania,Mongolia,LMIC,PC,Government,Health and Population,2012,92165.0
East Asia and Oceania,China (P.R.C.),UMIC,USAID,Enterprises,Administrative Costs,2010,379749.0
East Asia and Oceania,Cambodia,LMIC,USAID,Enterprises,Health and Population,2012,18476.0
East Asia and Oceania,Philippines,LMIC,DOD,Government,Governance,2009,33007128.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Health and Population,2005,61929.0
East Asia and Oceania,Micronesia (Federated States),LMIC,DOI,Government,Other,2007,21528793.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Enterprises,Administrative Costs,2015,8890.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Governance,2015,24634.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Enterprises,Administrative Costs,2016,156827.0
East Asia and Oceania,Taiwan,HIC,DOD,Government,Other,1967,60300268.0
East Asia and Oceania,Vietnam,LMIC,USAID,Enterprises,Administrative Costs,2009,22653.0
East Asia and Oceania,Vietnam,LMIC,HHS,Government,Health and Population,2017,83451.0
East Asia and Oceania,Thailand,UMIC,USAID,Enterprises,Health and Population,2004,1427.0
East Asia and Oceania,Cambodia,LMIC,AGR,Church and Faith Based,Commodity Assistance,2003,209537.0
East Asia and Oceania,Burma (Myanmar),LMIC,STATE,NGO,Governance,2017,286861.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Governance,2016,9647.0
East Asia and Oceania,Marshall Islands,UMIC,DOI,Government,Other,2013,552141.0
East Asia and Oceania,Philippines,LMIC,USAID,Multilateral,Humanitarian,2012,674760.0
East Asia and Oceania,Indonesia,LMIC,DOI,Government,Other,2003,71009.0
East Asia and Oceania,Indonesia,LMIC,STATE,NGO,Governance,2019,690997.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Humanitarian,2016,2070.0
East Asia and Oceania,Thailand,UMIC,STATE,Government,Governance,2004,18615.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Administrative Costs,2005,43003.0
East Asia and Oceania,Malaysia,UMIC,STATE,Church and Faith Based,Humanitarian,2020,11490.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Health and Population,2013,1912149.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Governance,2007,438.0
East Asia and Oceania,Tonga,UMIC,PC,Government,Education,2018,327511.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Administrative Costs,2014,596.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Administrative Costs,2015,6173.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Health and Population,2003,11826.0
East Asia and Oceania,Indonesia,LMIC,USAID,Universities and Research Institutes,Other,2014,483406.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Enterprises,Humanitarian,2008,1871843.0
East Asia and Oceania,Malaysia,UMIC,DOI,NGO,Other,2015,15557.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Health and Population,2015,1392362.0
East Asia and Oceania,Philippines,LMIC,DOD,Government,Governance,2005,3701787.0
East Asia and Oceania,Cambodia,LMIC,USAID,Enterprises,Health and Population,2012,5851.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Administrative Costs,2015,12465.0
East Asia and Oceania,Timor-Leste,LMIC,USAID,Enterprises,Administrative Costs,2020,4511.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Enterprises,Governance,2015,133881.0
East Asia and Oceania,Philippines,LMIC,STATE,Enterprises,Governance,2007,182565.0
East Asia and Oceania,China (P.R.C.),UMIC,DOC,Government,Economic Growth,2012,1125.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,NGO,Education,2008,321345.0
East Asia and Oceania,Indonesia,LMIC,DOD,Government,Health and Population,2008,301466.0
East Asia and Oceania,Vietnam,LMIC,USAID,Enterprises,Governance,2012,1456357.0
East Asia and Oceania,Micronesia (Federated States),LMIC,DOI,Government,Other,2012,674760.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Enterprises,Administrative Costs,2019,661.0
East Asia and Oceania,Philippines,LMIC,USAID,Multilateral,Health and Population,2003,917446.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Health and Population,2012,5106.0
East Asia and Oceania,Malaysia,UMIC,USAID,Government,Other,1958,2091631.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Other,2010,1636.0
East Asia and Oceania,Cambodia,LMIC,USAID,Networks,Health and Population,2016,146283.0
East Asia and Oceania,Vietnam,LMIC,USAID,Enterprises,Administrative Costs,2016,28919.0
East Asia and Oceania,Micronesia (Federated States),LMIC,DOI,Government,Governance,1997,1508923.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Health and Population,2019,134974.0
East Asia and Oceania,"Korea, Democratic Republic",LIC,STATE,NGO,Governance,2018,137619.0
East Asia and Oceania,Cambodia,LMIC,USAID,NGO,Agriculture,2015,1434035.0
East Asia and Oceania,Thailand,UMIC,STATE,NGO,Governance,2007,253271.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Governance,2009,345124.0
East Asia and Oceania,Philippines,LMIC,USAID,NGO,Health and Population,2014,591567.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Other,2003,151127.0
East Asia and Oceania,Philippines,LMIC,USAID,NGO,Health and Population,2011,604089.0
East Asia and Oceania,Cambodia,LMIC,USAID,Multilateral,Humanitarian,2001,116911.0
East Asia and Oceania,China (P.R.C.),UMIC,TDA,Enterprises,Infrastructure,2001,808518.0
East Asia and Oceania,Cambodia,LMIC,USAID,Government,Health and Population,2021,102787.0
East Asia and Oceania,Laos,LMIC,STATE,NGO,Governance,2015,741502.0
East Asia and Oceania,Mongolia,LMIC,PC,Government,Health and Population,2015,58076.0
East Asia and Oceania,Korea Republic,HIC,DOE,Government,Governance,2015,64263.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Health and Population,2006,74446.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Enterprises,Administrative Costs,2015,84632.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Infrastructure,2013,40803.0
East Asia and Oceania,Vietnam,LMIC,USAID,Enterprises,Other,2020,7203.0
East Asia and Oceania,Fiji,UMIC,PC,Government,Health and Population,2013,193395.0
East Asia and Oceania,Thailand,UMIC,STATE,NGO,Humanitarian,2016,1130161.0
East Asia and Oceania,Cambodia,LMIC,STATE,NGO,Governance,2008,89434.0
East Asia and Oceania,Cambodia,LMIC,USAID,Government,Administrative Costs,2018,2752.0
East Asia and Oceania,China (P.R.C.),UMIC,STATE,NGO,Governance,2004,2792220.0
East Asia and Oceania,Indonesia,LMIC,DOI,Multilateral,Other,2019,73660.0
East Asia and Oceania,Vietnam,LMIC,AGR,NGO,Commodity Assistance,2003,1823050.0
East Asia and Oceania,China (P.R.C.),UMIC,USAID,NGO,Health and Population,2010,1651577.0
East Asia and Oceania,China (P.R.C.),UMIC,STATE,NGO,Governance,2010,1496038.0
East Asia and Oceania,Cambodia,LMIC,USAID,Government,Governance,2016,949171.0
East Asia and Oceania,Timor-Leste,LMIC,AGR,Multilateral,Commodity Assistance,2009,999864.0
East Asia and Oceania,Thailand,UMIC,TDA,Enterprises,Other,2001,3521.0
East Asia and Oceania,Cambodia,LMIC,AGR,Multilateral,Education,2019,590.0
East Asia and Oceania,Mongolia,LMIC,PC,Government,Health and Population,2015,203274.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Administrative Costs,2012,96552.0
East Asia and Oceania,Thailand,UMIC,USAID,NGO,Health and Population,2011,566208.0
East Asia and Oceania,Vietnam,LMIC,STATE,NGO,Governance,2006,253896.0
East Asia and Oceania,China (P.R.C.),UMIC,DOC,Government,Humanitarian,2005,22606.0
East Asia and Oceania,Marshall Islands,UMIC,DOI,Government,Education,2008,2117105.0
East Asia and Oceania,China (P.R.C.),UMIC,USAID,Enterprises,Administrative Costs,2010,121713.0
East Asia and Oceania,Philippines,LMIC,USAID,NGO,Health and Population,2005,1741866.0
East Asia and Oceania,Vietnam,LMIC,USAID,Enterprises,Administrative Costs,2013,2514.0
